PitcherThrows,RelSpeed,SpinRate,RelHeight,ZoneSpeed,ZoneTime,Extension,VertRelAngle,HorzRelAngle,SpinAxis,RelSide,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,VertApprAngle,HorzApprAngle,TaggedPitchNum
293,Left,72.06478,1649.098754,5.96333,65.91583,0.544466,4.4652,0.036706,2.02611,97.02051,-2.07016,-53.33562,3.89103,-15.66674,1.55371,-1.44327,-9.538002,-0.716926,2
294,Left,72.38361,1632.329155,6.2099,65.52075,0.548753,4.18785,1.145516,1.493608,293.113767,-1.63424,-63.36318,-5.23185,17.35749,2.02781,1.24375,-10.151611,4.515996,4
295,Left,69.55901,1324.583252,6.12792,63.32476,0.568744,4.23809,1.96256,1.766395,307.231431,-1.67021,-68.0235,-5.57953,10.26095,2.33976,0.87644,-10.165666,3.553682,4
296,Left,69.82834,1368.879616,6.14695,63.19832,0.567368,4.39698,1.891744,2.202062,330.155113,-1.60051,-72.92319,-10.78091,7.53835,1.87781,1.13074,-11.131445,3.519874,4
297,Left,72.58834,1269.49063,6.33573,65.9531,0.544045,4.45152,0.869894,1.237175,317.325043,-1.21265,-68.39082,-11.25257,12.32079,1.4663,0.99405,-11.330015,3.397447,4
298,Left,70.80037,1569.047535,5.99581,64.2935,0.554851,4.56925,0.288735,1.931376,108.10909,-1.97797,-51.57408,7.85642,-17.41737,1.97288,-1.5909,-9.038951,-1.122539,2
299,Left,70.15419,1370.790773,6.26817,63.44087,0.565453,4.25476,2.296143,-0.2066,331.85169,-1.52857,-73.22783,-11.5043,7.40323,2.36457,-1.10936,-10.767269,1.086137,4
300,Left,72.45267,1617.394776,5.88482,65.75558,0.5414,4.57547,2.228002,0.167764,94.407053,-2.10421,-53.37404,3.21,-16.19733,3.5579,-3.29437,-7.422552,-2.669522,2
301,Left,70.13224,1345.451686,6.36284,62.99679,0.568251,4.14773,3.917672,-0.867382,326.767564,-1.38725,-78.19339,-15.85769,11.97327,3.60974,-1.22129,-10.017193,1.215831,4
302,Left,69.7064,1379.453755,6.15293,63.0787,0.566256,4.56387,2.285743,0.454147,325.189393,-1.68583,-75.78146,-13.88265,11.28434,2.01427,-0.31327,-11.288221,2.436326,4
303,Left,72.91239,1573.729814,5.8983,66.98386,0.533209,4.9201,-0.925267,4.228874,104.640841,-2.11686,-48.35759,6.52721,-18.00194,0.99126,0.38839,-9.662551,1.059389,2
304,Left,81.22337,2039.185822,6.2511,73.67978,0.482573,4.63042,-1.421817,3.979963,131.412802,-1.7126,-28.67277,16.28284,-16.658,2.50673,0.68825,-6.682243,1.066753,0
333,Left,87.95591,2076.776699,5.35592,79.43463,0.435056,5.89939,-1.118761,1.632549,138.578975,-0.90955,-19.82166,16.71658,-13.6006,2.66496,-0.52696,-4.891633,-0.808592,0
334,Left,89.38767,2112.790439,5.36058,80.46288,0.427351,6.13288,-1.479372,3.179242,163.598679,-0.74333,-17.01151,18.24406,-4.98969,2.57321,1.78236,-4.758543,2.281848,0
335,Left,70.57986,2061.680999,5.11023,64.23307,0.54535,5.64153,2.310633,0.438452,314.814333,-0.89587,-65.02027,-7.6076,9.67512,1.84858,0.31941,-9.590877,2.169375,4
336,Left,88.40622,2080.829212,5.41036,79.9057,0.433598,5.82759,-2.106155,0.652125,151.057884,-1.08456,-18.77729,17.51643,-8.96634,1.8867,-1.22551,-5.677297,-0.955833,0
337,Left,89.59932,2194.520105,5.46338,81.03756,0.428116,5.75383,-1.745429,0.468889,144.476594,-1.08324,-18.87174,16.50997,-10.89225,2.26538,-1.55444,-5.323873,-1.481656,0
338,Left,75.81573,1483.275238,5.03073,69.14484,0.498856,6.33918,0.287784,2.360143,132.296577,-1.29267,-36.1327,11.90788,-11.33505,2.28485,-0.06312,-6.502566,0.309513,2
339,Left,88.4925,1886.070846,5.45066,80.37637,0.429814,6.02547,0.221312,1.382533,147.881633,-1.09238,-21.98694,13.67607,-7.8452,3.82344,-0.46547,-3.937091,-0.028701,0
340,Left,86.85696,2144.806345,5.39257,78.79891,0.439698,5.91078,-1.17487,2.694195,150.285907,-0.93775,-20.06438,17.25777,-9.11953,2.62873,0.80474,-4.984935,1.059058,0
341,Left,87.85884,2241.586161,5.33698,79.71484,0.435124,6.01866,-3.759649,2.256802,142.050073,-1.01824,-19.91009,16.6395,-11.95638,0.18767,0.07686,-7.524778,0.10576,0
342,Left,88.92542,2091.67183,5.3589,80.25316,0.430425,6.02179,-2.900183,2.562909,140.194537,-0.84457,-18.90036,16.86414,-12.95548,1.09271,0.45118,-6.50163,0.233393,0
343,Left,86.26225,2008.679974,5.35582,77.93447,0.445694,5.65336,-0.926336,0.591597,141.247195,-0.92108,-23.44241,14.90457,-10.86607,2.53823,-1.27482,-5.336408,-1.350705,0
344,Left,76.83739,1509.41483,5.09371,70.20087,0.496466,5.92179,-1.302734,1.482519,125.530993,-1.17792,-36.42171,11.15961,-13.36875,0.84908,-0.91597,-8.067263,-0.921352,2
345,Left,88.76004,2212.46184,5.30181,80.08635,0.434208,5.67531,-3.203703,0.933244,136.300595,-0.87263,-19.39202,17.00387,-14.95709,0.69562,-1.24896,-6.867234,-1.742145,0
346,Left,87.47229,1979.585104,5.36661,79.78252,0.435754,5.90366,-2.334835,2.032521,149.004115,-1.14388,-18.22391,18.43162,-10.34312,1.67803,-0.11828,-5.793936,0.176423,0
347,Left,89.07482,2175.059266,5.35734,80.38409,0.429115,5.94484,-0.830864,1.516031,151.569906,-1.26675,-16.57647,18.97072,-9.58843,3.20497,-0.65926,-4.022969,-0.206043,0
348,Left,75.43047,1538.060568,4.98293,67.9578,0.507877,5.95624,1.461294,1.528479,114.118497,-1.36156,-39.22431,10.56938,-19.56072,3.07015,-1.57384,-5.888751,-1.985898,2
349,Left,87.58753,2026.244742,5.32474,78.80772,0.438707,5.8034,-1.961937,1.766037,162.074806,-0.95558,-15.9708,21.18324,-6.40622,2.16762,0.15354,-5.047936,0.618813,0
350,Left,88.65366,2196.701036,5.22135,79.7658,0.432331,6.12419,-3.195505,4.58782,164.618694,-0.86379,-13.85268,22.22926,-5.74103,1.10039,2.90796,-5.902932,3.55869,0
351,Left,87.217,2088.268436,5.30987,79.39243,0.436667,5.94741,-0.776095,1.429842,125.688638,-0.88882,-23.5021,13.30721,-16.82879,2.63126,-0.96475,-5.196689,-1.594476,0
352,Left,88.98375,2127.207261,5.41671,81.67429,0.425522,6.01025,-1.059218,1.654972,141.646359,-0.94835,-18.72863,16.22576,-12.00091,2.8742,-0.41482,-4.601083,-0.503386,0
353,Left,71.81257,1945.111095,4.94798,65.22709,0.53489,5.73508,3.334929,0.65745,320.482478,-1.21658,-63.4694,-8.23792,8.36107,2.76811,0.09242,-8.314102,2.153899,4
354,Left,89.56454,2236.393003,5.3344,81.16786,0.4255,6.08665,-2.496545,2.131454,157.463579,-1.00096,-16.25733,18.6934,-7.24851,1.66706,0.36767,-5.618281,0.82662,0
355,Left,76.81647,1506.837252,4.96962,69.54653,0.494378,6.31515,0.165569,2.264527,127.657449,-1.3352,-35.46085,11.72111,-13.01635,2.16718,-0.33298,-6.516606,-0.089682,2
356,Left,87.95405,2120.932378,5.57522,79.08411,0.43406,6.0691,0.944787,1.40714,150.816653,-1.10315,-18.27808,18.093,-9.38166,4.92668,-0.58255,-2.577842,-0.281336,0
357,Left,71.42506,2029.596453,5.05237,64.73531,0.540796,5.53422,3.085911,0.253022,328.815153,-1.28839,-67.21004,-10.75225,7.72465,2.33882,-0.40816,-9.195682,1.631582,1
358,Left,87.53197,2066.513752,5.41481,79.45898,0.435119,6.13782,-2.85324,2.81866,154.007045,-1.00717,-18.58718,17.9617,-8.1339,1.22358,0.92207,-6.397375,1.353934,0
359,Left,86.74884,2024.920364,5.45107,78.63939,0.440906,5.80817,-1.023319,0.885596,152.667295,-1.15844,-18.85139,18.67611,-8.98697,2.92828,-1.08374,-4.614395,-0.724942,0
372,Left,86.80614,2076.470009,5.29608,78.09879,0.44261,5.73553,-0.639191,1.230836,157.078469,-1.23996,-14.92517,22.89297,-9.10071,3.45693,-0.85202,-3.545452,-0.397189,0
373,Left,86.93549,2010.667255,5.12665,78.76963,0.440951,5.79296,-1.531625,1.769601,118.501593,-1.36912,-26.48812,11.04709,-17.9054,1.49357,-1.21463,-6.479615,-1.440086,0
374,Left,88.02736,2168.382313,5.34623,79.42693,0.4366,5.79754,-2.304927,2.695689,125.922106,-1.07302,-22.6597,14.13831,-17.64536,1.31053,-0.03429,-6.571268,-0.464769,0
375,Left,88.30211,2127.987503,5.27825,79.62659,0.434683,5.83594,-1.624342,2.438547,124.038536,-1.00864,-23.0547,13.42099,-17.89284,1.8455,-0.23182,-5.969058,-0.768897,0
376,Left,88.11751,2132.764712,5.16175,79.3347,0.435715,5.83401,-0.760098,0.350876,120.650405,-1.26025,-23.97112,12.67784,-19.12954,2.4576,-2.52824,-5.275856,-3.079955,0
377,Left,87.08027,2048.86718,5.2088,79.33665,0.438079,5.89949,-1.56022,2.416921,126.229613,-1.13416,-25.04482,12.00296,-14.69076,1.67166,-0.11332,-6.245964,-0.219819,0
378,Left,89.37766,2111.143702,5.25815,81.29754,0.428321,5.8621,-3.610312,2.537389,128.418281,-1.32905,-19.99926,15.41639,-17.88336,0.22984,-0.46056,-7.371145,-0.670362,0
379,Left,88.71073,2117.709642,5.26749,80.55448,0.432201,5.75256,-2.54343,2.110806,128.724087,-1.2244,-21.78379,14.27639,-16.23745,1.08131,-0.61166,-6.629884,-0.796589,0
380,Left,87.21796,2095.319261,5.29318,79.16118,0.438584,5.85904,-2.073884,1.999097,135.05835,-1.24519,-22.02576,15.10757,-13.78737,1.52894,-0.53613,-6.222774,-0.47416,0
381,Left,88.44142,2189.304175,5.14729,80.17529,0.431663,5.99569,-2.274813,3.306643,148.466805,-1.17996,-16.04741,19.92316,-11.45493,1.6974,0.93302,-5.360929,1.251206,0
382,Left,76.53463,1590.702799,4.82325,70.49863,0.495209,6.06856,-1.013617,2.730749,109.847227,-1.36073,-39.49305,7.84756,-17.63442,0.59301,-0.30134,-8.32352,-0.446793,2
383,Left,71.54315,2023.378568,5.00588,65.31677,0.539568,5.46246,2.210605,1.145874,307.908905,-1.12497,-66.89071,-10.68902,16.18658,1.50216,1.29656,-9.956496,4.031236,4
384,Left,88.69789,2218.149891,5.26857,80.39331,0.43084,6.10518,-3.906801,3.863937,141.55078,-1.09593,-17.80434,18.0291,-13.28965,0.15819,1.37522,-7.301409,1.475297,0
385,Left,88.33447,2037.505488,5.27986,80.05634,0.432197,5.91198,-1.329057,1.026535,152.114202,-1.20683,-16.69076,19.36879,-9.59229,2.65501,-1.05333,-4.53128,-0.695712,0
386,Left,87.37373,2066.635715,5.18243,79.44733,0.436247,5.92086,-0.417323,1.166655,126.1905,-1.21284,-24.25726,12.48127,-15.3878,2.77365,-1.41239,-4.974921,-1.597418,0
